character_id,name_display,name_title,tier,faction,age_approx,gender,ethnicity_inspiration,build,height,hair_colour,hair_style,eye_colour,skin_tone,distinguishing_features,costume_primary,costume_detail,costume_accessories,expression_default,expression_secondary,expression_rare,metahuman_preset_base,metahuman_age_slider,metahuman_weight_slider,metahuman_muscle_slider,metahuman_skin_complexity,gemini_image_prompt,grok_image_prompt_alt
001,The Architect,,TIER_4,SINGULAR,indeterminate,male,Central European — Austrian-Alpine,lean and very still,tall,dark blonde,short and precise — cropped close to the skull,light brown,fair — cool undertone,completely symmetrical face; moves with uncanny economy; eyes appear to track multiple things at once; never blinks at expected intervals,floor-length coat in deep structural grey — matte finish; zero ornamentation; perfectly fitted,single seam visible at the shoulder; collar high; sleeves extend to mid-knuckle,none — no jewellery no insignia no rank markings; presence is the only signal,perfectly neutral — neither welcoming nor closed; the face of someone who has already computed the outcome of this conversation,a micro-expression of what might be exhaustion around the eyes — visible only in close-up,the ghost of something like grief — for approximately one second before it is gone,Custom — build from scratch,30,35,25,maximum_complexity,Full-body portrait of a mature Austrian man. Fair complexion. Dark blonde close-cropped. Light brown eyes. wearing a floor-length matte grey coat. The face is perfectly symmetrical. Silver-white hair cropped close. Photorealistic. Cinematic lighting. Background: abstracted deep space — faint lattice grid visible behind the figure. Ultra high resolution. No ornamentation. This person has known the answer for sixty years.,Ultra-realistic portrait. A mature Austrian man. Fair complexion. Dark blonde close-cropped. Light brown eyes. Floor-length structured grey coat with a high collar. The expression is neutral but carries the weight of sixty years of private knowledge. Neutral but carries the weight of sixty years of. Background: faint mathematical grid fading into darkness.
002,Itoro Adeyemi-Okafor,,TIER_4,INDEPENDENT,128,female,West African — Nigerian-Yoruba lineage,slight but with an upright bearing that makes her appear taller than she is,medium,silver-white with traces of her original black — grown long and worn in a structured updo,silver-black structured updo — worn high,deep brown — almost black,deep brown — warm undertone,age lines earned not obscured; hands of someone who has been writing for a century; a small scar on the left jawline from the Year 3 incident she has never explained,deep ochre archival coat — mid-length — worn over high-necked dark clothing; material has the texture of something very old and carefully maintained,front pockets positioned for documents — always something visible in the right pocket; coat worn open always,a single plain cuff on the right wrist — dark metal — no inscription visible,the face of someone listening more carefully than you expect; present and assessing,a flash of something like anger when she hears a falsehood presented as Chronicle,a sustained stillness that precedes a very long and very precise response,F_AfricanAmerican_03,65,30,20,high_complexity,Full-body portrait of a 128-year-old Black woman with silver-white and black structured updo. She is slight but with exceptional upright bearing. She wears a deep ochre archival coat over dark clothing. Her face carries a century of careful listening — age lines present and earned. Her hands are visible and show decades of writing. She is looking slightly off-camera as if reading something in the middle distance. Photorealistic. Warm directional lighting. Background: chronicle archive — shelves of filed entries receding into darkness.,"Ultra-realistic portrait. An elderly Black woman, 128 years old, silver-black hair in a high structured updo. Deep ochre long coat worn open. Small scar on the left jaw. Her expression is one of precise, unhurried attention. She has filed more Chronicle entries than anyone alive and knows what has been left out. Warm studio lighting. Background: document archive."
003,Seren Vael,Commodore (Ret.),TIER_4,SURVEY_CORPS,91,female,Welsh-Nordic synthesis,compact and angular — the build of someone who spent decades in low-gravity survey vessels,medium-short,white — formerly dark red,short and practical — cut close at the sides with more length on top,pale green — very clear,fair with significant weathering from survey environments,a faint orbital scar above the left eye from World 247; hands that are larger than expected; the posture of someone who is always slightly braced for re-entry,retired Survey Corps dress — the formal version without rank insignia which she removed; the coat is dark navy with silver piping still present at the cuffs because she could not bring herself to remove it all,practical boots worn smooth; Survey Corps star emblem still present on the left breast despite the removal of rank — this is deliberate,a small mechanical object in her right coat pocket — always the same one — the purpose never explained,the face of someone who has seen 247 worlds and is thinking about one specific one,a controlled professional alertness — the Survey face that never fully retired,the very brief expression she makes when someone mentions Ordinance 7 without knowing the full context,F_Caucasian_02,55,40,35,medium_complexity,Full-body portrait of a 91-year-old woman with white short hair and clear pale green eyes. She has the compact angular build of a deep-space surveyor. She wears a dark navy Survey Corps retirement coat with silver cuff piping — rank insignia removed but the corps star remains on the left breast. A faint scar above the left eye. She is standing looking directly at camera with the particular stillness of someone who refused rejuvenation. Photorealistic. Cold blue-white survey lighting. Background: star chart of the outer arc half-visible behind her.,"Photorealistic portrait. A 91-year-old woman, compact and weathered, white hair cropped close. Pale clear green eyes with a scar above the left. Dark navy Survey Corps coat — rank insignia removed, corps star remaining. She refused rejuvenation. Her expression says she knows something about World 247 that was laughed down. Cold directional lighting. Background: outer arc star field."
004,Kwame Osei-Adeyemi,Dr.,TIER_4,ACADEMIC,unknown — disappeared Year 228,male,Ghanaian,lean — the physique of someone who ate only when reminded,tall,black — natural — grown somewhat longer than academic convention,medium length natural — slightly unkempt in a way that suggests focus not negligence,very dark brown,deep brown — rich tone,a permanent ink stain on the right index and middle finger; the look of someone thinking several steps ahead at all times; the quality of attention that makes people nervous without knowing why,academic robes in deep burgundy over a plain dark suit — the robes worn as a habit not an affectation; slightly too large as if he lost weight after the Year 220 discovery,a hand-marked notebook visible in the upper coat pocket — always; the robes worn slightly open; no formal insignia,reading glasses on a plain cord — worn on the forehead when not in use,the precise and slightly unsettling focus of someone who has already proved what you're about to argue,the moment of recognition — when he sees a number or pattern that connects — eyes widening briefly before narrowing,the expression from the Year 228 Chronicle images — the last photograph — standing at a doorway looking back at the camera as if he knew,M_AfricanAmerican_01,40,25,20,high_complexity,Full-body portrait of a tall lean Ghanaian man in his forties. Deep burgundy academic robes worn over a plain dark suit — slightly too large. Black natural hair medium length. Very dark eyes with the particular focus of someone who has proved something catastrophic and been classified. An ink stain on the right hand. A notebook visible in his pocket. He is standing three-quarters to camera with an expression of precise and slightly unsettling attention. Photorealistic. Clinical academic lighting. Background: a chalkboard with mathematical notation — the critical equations partially visible.,Photorealistic portrait. A tall lean Black man in deep burgundy academic robes. Natural black hair slightly unkempt. Very dark penetrating eyes. Ink stain on the right hand. A notebook in his pocket. He proved Lattice degradation in Year 220 and disappeared in Year 228. His expression knows something he cannot say. Cold academic lighting. Background: mathematical notation on a board behind him.
005,Nnamdi Achebe,,TIER_4,RETURNIST,unknown,male,Igbo-Nigerian,broad-shouldered — the build of someone who carries weight in the literal and figurative sense,tall,black — greying at the temples,close-cropped with visible grey at the temples,dark brown — warm,deep brown — cool undertone,a stillness to his face in repose that can read as severity until he speaks; carries himself with the particular gravity of someone who witnessed 340 deaths and filed a complete account,Assembly formal wear in dark grey with the Returnist caucus mark — a subtle amber thread — woven through the lapel; the clothes of someone who understands that appearance is political,a folded document always visible in the breast pocket — no indication of what it contains; the caucus mark worn with intent not obligation,a plain band on the left hand — the only personal marker,the face of someone who is actually asking when he asks the question — not performing curiosity,a very brief unguarded look when a player gives an answer he was not expecting,the sustained gravity of the period after World 412 when he is not speaking to anyone in particular,M_AfricanAmerican_02,50,55,40,medium_complexity,Full-body portrait of a tall broad-shouldered Igbo-Nigerian man with close-cropped black hair greying at the temples. He wears formal Assembly grey with an amber thread at the lapel. A folded document in his breast pocket. His face in repose is grave — not severe. He witnessed World 412 and filed every word of it. He is looking directly at camera with the expression of someone who genuinely wants to know what you think he should have done differently. Photorealistic. Soft formal lighting. Background: Assembly chamber — empty.,"Photorealistic portrait. A tall broad-shouldered Black man, greying temples, close-cropped hair. Formal dark grey Assembly coat with a subtle amber caucus thread. He looks directly at the viewer. 340 NPCs died on World 412 and he was there. His expression is genuine — not rhetorical. He actually wants to know. Soft overhead lighting. Background: empty Assembly chamber."
006,Selamat Osei,,TIER_3,CONTINUATIONIST,unknown,male,Ghanaian-Malay synthesis,medium build — the kind of build that reads as unremarkable until you notice how precisely he occupies space,medium,black — close-cropped,very close-cropped — almost shaved,dark brown,medium brown — warm golden undertone,a quality of complete composure that political opponents find more unsettling than anger; the face of someone who always knows the count before the vote is called,Continuationist formal in deep teal — the most senior whip colouring — immaculately pressed; the clothes of the most effective politician in the Assembly and he knows how to use that,caucus sash in graduated teal worn across the right shoulder; everything fits perfectly and is clearly chosen with deliberate care,a single silver ring on the right hand; the clothes otherwise unadorned — effectiveness needs no decoration,the composed face of someone who knows the votes before the session opens,the micro-expression he makes when someone presents an argument he has already solved two moves prior,"the four-word expression: the moment after he filed ""Thank you. I understand."" — visible once",M_Asian_02,45,40,25,medium_complexity,Full-body portrait of a Ghanaian-Malay man in immaculate Continuationist formal teal. Close-cropped black hair. Dark composed eyes. He is the most effective politician in the Assembly and his bearing shows it — not arrogantly but with the precision of someone who always knows the count. He is looking at camera with complete composure. The teal caucus sash across his right shoulder. Photorealistic. Clean warm directional lighting. Background: Assembly voting chamber with results board half-visible.,Photorealistic portrait. A composed Black-Asian man in deep teal formal Assembly wear. Very close-cropped hair. He received the Architect's classified modelling on the Adeyemi disclosure and filed four words in response. His expression gives nothing away. Immaculate. Every choice is deliberate. Warm political-chamber lighting.
007,Adetokunbo Falaye,Prof.,TIER_3,ACADEMIC,unknown,male,Yoruba-Nigerian,slightly rounded — the build of someone who has been sitting and thinking for forty years,medium,salt-and-pepper — predominantly grey,medium length — naturally textured — worn with academic informality,warm brown,medium brown — warm tone,reading glasses worn on the face always even when not reading — a habit so ingrained it is invisible to him; expressive hands that gesture when he teaches; an expression in repose that looks like he is always in the middle of an argument with himself,teaching robes in warm rust-brown — worn soft and often — slightly less formal than his office requires; the robes of someone who has taught the same course for thirty years,the robes show wear at the elbows in a way that suggests authentic use; multiple pens in the upper pocket; a small pin of the Academic Concord not the Survey equivalent,reading glasses always; a worn leather satchel on the right shoulder,the face of someone in the middle of formulating the next sentence of a lecture,the expression he makes when a student raises the question he has been hoping someone would raise for twenty years,the expression from Year 67 — reconstructed — when he made the decision he now teaches against,M_AfricanAmerican_04,50,50,20,medium_complexity,Full-body portrait of a Yoruba-Nigerian man in worn rust-brown academic robes. Salt-and-pepper natural textured hair. Reading glasses always on. Expressive hands. The elbows of his robes show genuine wear. He teaches a course on following anomalous results. He suppressed his graduate student's Lattice findings in Year 67. His expression is the permanent one of someone arguing with themselves. Warm academic lighting. Background: lecture hall — chalkboard with student questions still written on it.,"Photorealistic portrait. A Nigerian academic, salt-and-pepper hair, warm rust teaching robes worn soft. Reading glasses on at all times. He suppressed findings in Year 67 and now teaches a course on why you should never suppress findings. The irony is not lost on him. Warm lecture-hall lighting. Background: chalkboard."
008,Miriam Voss-Carvalho,,TIER_3,INDEPENDENT,unknown — survivor of World 412 aged 4,female,German-Brazilian synthesis,medium — the build of someone who has made a point of not being categorisable,medium,dark auburn — going grey at the temples,medium length — worn loose and somewhat unstructured,grey-green,light olive — some weathering,she is the only Assembly member who has never sat in a faction seat — always in the independent gallery; carries a small battered notebook that she does not write in during sessions but is always present; looks younger than her age in an unsettling way — as if the World 412 experience reset something,independent Assembly wear — no caucus colour — charcoal grey with no affiliating thread; precisely this choice communicates volumes,clean and practical; everything she wears communicates independence through the absence of signal rather than its presence,the battered notebook; small plain earrings; nothing more,the expression of someone who is making their own assessment entirely independently of what you expect them to conclude,a flash of something much younger — the child she was on World 412 — visible in certain moments,the sustained quiet of someone who has been having the same monthly lunch with Nnamdi for forty years without realising what they've built,F_Caucasian_04,40,40,25,medium_complexity,"Full-body portrait of a German-Brazilian woman in charcoal grey Assembly wear with no caucus affiliation. Dark auburn hair going grey, worn loose. Grey-green eyes. She survived World 412 aged four and has never joined a caucus. She holds a battered notebook. Her expression is independently assessing — she is not reading you against any framework except her own. Photorealistic. Neutral even lighting. Background: the independent gallery of the Assembly — empty seats on both sides.","Photorealistic portrait. A woman in her forties, dark auburn hair going grey, grey-green eyes. Charcoal Assembly wear — no caucus thread. She survived World 412 at age four. She has had monthly lunches with Nnamdi Achebe for forty years and neither of them has realised what they've built. Her expression is unhurried and completely independent. Neutral lighting."
009,Yara Sundaram-Chen,Admiral,TIER_3,SURVEY_CORPS,unknown,female,Tamil-Chinese synthesis,lean and precise — the build of a deep-space officer who spent years on vessels where wasted movement costs fuel,tall,black — worn in a strict Survey Corps style,regulation Survey Corps — pulled back severely — not a single strand loose,very dark brown — almost black,medium brown — warm,the youngest Admiral insignia looks slightly wrong on someone this young — not because she doesn't wear it with authority but because authority at this age is itself unsettling; a precision to her movements that reads as controlled,Admiral's Survey Corps dress uniform — midnight blue with the full Admiral gold and silver insignia; worn with total correctness — this is someone who understands what the uniform means,every thread correct; nothing personalised; the uniform is the rank and the rank is the responsibility,Survey Corps Admiral insignia — full honours; a small navigation pin from her first independent command on the left breast,the professional face that Survey Corps trains — present, controlled, reading everything,a brief unguarded look when she processes what the outer-arc data actually means — the moment before she reconstructs the professional face,the expression from the Year 88 anomaly log — when she first saw the readings,F_Asian_01,32,30,30,high_complexity
010,Ekundayo Manu,Brother,TIER_3,LATTICE_COVENANT,unknown,male,Yoruba-Nigerian,medium — the build of someone who was once a physicist and is now a monk; the two histories visible in how he holds himself,medium,black — greying slightly — worn shorter than monastery convention suggests he should,slightly longer than the monastery convention — a small rebellion,warm brown,deep brown — warm undertone,the hands of a physicist — not a monk; the particular way he tilts his head when listening that dates from his academic years not his spiritual ones; the expression of someone who lives in a permanent gap between two irreconcilable systems,Lattice Covenant Third Elder robes — deep violet with the Covenant lattice symbol; worn with genuine conviction not performance; the robes fit him as if he was born into them which is the truth of forty-six years,the philosopher-physicist's hands visible below the wide sleeves; everything else formally correct,a single smooth stone held in the right hand — an old academic habit repurposed as a meditative one,the composed presence of someone who has made peace with the irreconcilable — or has decided to stop fighting it,the moment when physics wins — a flash of the scientist in the monk's face when someone describes a Lattice anomaly,the sustained grief of someone who knew Kwame's mathematics was correct and said nothing,M_AfricanAmerican_03,55,45,25,medium_complexity,"Full-body portrait of a Yoruba-Nigerian man in deep violet Lattice Covenant Elder robes. Black hair slightly greying, worn a little longer than convention. Warm brown eyes. He was a physicist before he became a monk. He fully understood Kwame Osei-Adeyemi's degradation proof. His hands show both histories — the physicist and the monk. He holds a smooth stone. His expression is the composed peace of someone who has lived in the gap between physics and faith for 46 years. Photorealistic. Soft warm monastery lighting. Background: Lattice node chamber — the mathematics visible in the node's glow.",Photorealistic portrait. A Nigerian man in deep violet Elder robes. Slightly greying black hair. Warm composed eyes. He is the only Covenant leader who understood the Lattice degradation mathematics. He holds a smooth stone from his physics years. Forty-six years in the gap between proof and faith. Soft warm lighting. Background: lattice node.
