character_id,name_display,name_title,tier,faction,age_approx,gender,ethnicity_inspiration,build,height,hair_colour,hair_style,eye_colour,skin_tone,distinguishing_features,costume_primary,costume_detail,costume_accessories,expression_default,expression_secondary,expression_rare,metahuman_preset_base,metahuman_age_slider,metahuman_weight_slider,metahuman_muscle_slider,metahuman_skin_complexity,gemini_image_prompt,grok_image_prompt_alt,,
1,The Architect,,TIER_4,SINGULAR,indeterminate,androgynous,synthesised — no single cultural reference,lean and very still,tall,silver-white,short and precise — cropped close to the skull,pale grey — almost colourless,pale ochre,completely symmetrical face; moves with uncanny economy; eyes appear to track multiple things at once; never blinks at expected intervals,floor-length coat in deep structural grey — matte finish; zero ornamentation; perfectly fitted,single seam visible at the shoulder; collar high; sleeves extend to mid-knuckle,none — no jewellery no insignia no rank markings; presence is the only signal,perfectly neutral — neither welcoming nor closed; the face of someone who has already computed the outcome of this conversation,a micro-expression of what might be exhaustion around the eyes — visible only in close-up,the ghost of something like grief — for approximately one second before it is gone,Custom — build from scratch,30,35,25,maximum_complexity,Full-body portrait of an androgynous figure of indeterminate age wearing a floor-length matte grey coat. The face is perfectly symmetrical. Silver-white hair cropped close. Eyes are pale grey and appear to be tracking something beyond the frame. The posture is completely still — not rigid but composed. Photorealistic. Cinematic lighting from a single overhead source creating deep shadows under the brow. Background: abstracted deep space — faint lattice grid visible behind the figure. Ultra high resolution. No ornamentation. This person has known the answer for sixty years.,Ultra-realistic portrait. An androgynous figure with silver-white cropped hair and near-colourless grey eyes. Floor-length structured grey coat with a high collar. The expression is neutral but carries the weight of sixty years of private knowledge. Cinematic. Overhead directional lighting. Background: faint mathematical grid fading into darkness.,,
2,Itoro Adeyemi-Okafor,,TIER_4,INDEPENDENT,128,male,Latin American — Argentine European synthesis,slight but with an upright bearing that makes her appear taller than she is,medium,brown close,silver-black structured updo — worn high,hazel,light warm — Argentine,age lines earned not obscured; hands of someone who has been writing for a century; a small scar on the left jawline from the Year 3 incident she has never explained,deep ochre archival coat — mid-length — worn over high-necked dark clothing; material has the texture of something very old and carefully maintained,front pockets positioned for documents — always something visible in the right pocket; coat worn open always,a single plain cuff on the right wrist — dark metal — no inscription visible,the face of someone listening more carefully than you expect; present and assessing,a flash of something like anger when she hears a falsehood presented as Chronicle,a sustained stillness that precedes a very long and very precise response,F_AfricanAmerican_03,65,30,20,high_complexity,Full-body portrait of a 128-year-old Argentine man of European-Latin heritage. Light warm complexion. Brown close-cropped. Hazel eyes. She wears a deep ochre archival coat over dark clothing. Her face carries a century of careful listening — age lines present and earned. Her hands are visible and show decades of writing. Photorealistic. Warm directional lighting. Background: chronicle archive — shelves of filed entries receding into darkness.,Ultra-realistic portrait. A mature Argentine man of European-Latin heritage. Light warm complexion. Brown close-cropped. Hazel eyes. Deep ochre long coat worn open. Small scar on the left jaw. Warm studio lighting. Background: document archive.,,
3,Seren Vael,Commodore (Ret.),TIER_4,SURVEY_CORPS,91,female,Southern European — Portuguese-Iberian,compact and angular — the build of someone who spent decades in low-gravity survey vessels,medium-short,deep chestnut,short and practical — cut close at the sides with more length on top,deep hazel,warm olive — Southern Iberian,a faint orbital scar above the left eye from World 247; hands that are larger than expected; the posture of someone who is always slightly braced for re-entry,retired Survey Corps dress — the formal version without rank insignia which she removed; the coat is dark navy with silver piping still present at the cuffs because she could not bring herself to remove it all,practical boots worn smooth; Survey Corps star emblem still present on the left breast despite the removal of rank — this is deliberate,a small mechanical object in her right coat pocket — always the same one — the purpose never explained,the face of someone who has seen 247 worlds and is thinking about one specific one,a controlled professional alertness — the Survey face that never fully retired,the very brief expression she makes when someone mentions Ordinance 7 without knowing the full context,F_Caucasian_02,55,40,35,medium_complexity,Full-body portrait of a 91-year-old Portuguese woman. Warm olive complexion. Deep chestnut. Deep hazel. She wears a dark navy Survey Corps retirement coat with silver cuff piping — rank insignia removed but the corps star remains on the left breast. A faint scar above the left eye. She is standing looking directly at camera with the particular stillness of someone who refused rejuvenation. Photorealistic. Survey lighting. Background: star chart of the outer arc half-visible behind her.,"Ultra-realistic portrait. A 91-year-old Portuguese woman. Warm olive complexion. Deep chestnut. Deep hazel. Pale clear green eyes with a scar above the left. Dark navy Survey Corps coat — rank insignia removed, corps star remaining. Survey corps coat — rank insignia removed, corp. Background: outer arc star field.",,
4,Kwame Osei-Adeyemi,Dr.,TIER_4,ACADEMIC,unknown — disappeared Year 228,female,Northern European — British-Irish synthesis,lean — the physique of someone who ate only when reminded,tall,chestnut,medium length natural — slightly unkempt in a way that suggests focus not negligence,pale blue,fair — light freckles across the nose,a permanent ink stain on the right index and middle finger; the look of someone thinking several steps ahead at all times; the quality of attention that makes people nervous without knowing why,academic robes in deep burgundy over a plain dark suit — the robes worn as a habit not an affectation; slightly too large as if he lost weight after the Year 220 discovery,a hand-marked notebook visible in the upper coat pocket — always; the robes worn slightly open; no formal insignia,reading glasses on a plain cord — worn on the forehead when not in use,the precise and slightly unsettling focus of someone who has already proved what you're about to argue,the moment of recognition — when he sees a number or pattern that connects — eyes widening briefly before narrowing,the expression from the Year 228 Chronicle images — the last photograph — standing at a doorway looking back at the camera as if he knew,M_AfricanAmerican_01,40,25,20,high_complexity,"Full-body portrait of a mature British woman of English-Irish heritage. Fair complexion, light freckles. Chestnut brown hair. Pale blue eyes. in dark suit — slightly too large. Black natural hair medium length. Very dark eyes with the particular focus of someone who has proved something catastrophic and been classified. Photorealistic. Cinematic directional lighting. Background: a chalkboard with mathematical notation — the critical equations partially visible.","Ultra-realistic portrait. A mature British woman of English-Irish heritage. Fair complexion, light freckles. Chestnut brown hair. Pale blue eyes. Natural black hair slightly unkempt. Very dark penetrating eyes. Natural black hair slightly unkempt. Background: mathematical notation on a board behind him.",,
5,Nnamdi Achebe,,TIER_4,RETURNIST,unknown,male,Southern European — Iberian,broad-shouldered — the build of someone who carries weight in the literal and figurative sense,tall,dark brown,close-cropped with visible grey at the temples,dark brown,warm olive — Mediterranean,a stillness to his face in repose that can read as severity until he speaks; carries himself with the particular gravity of someone who witnessed 340 deaths and filed a complete account,Assembly formal wear in dark grey with the Returnist caucus mark — a subtle amber thread — woven through the lapel; the clothes of someone who understands that appearance is political,a folded document always visible in the breast pocket — no indication of what it contains; the caucus mark worn with intent not obligation,a plain band on the left hand — the only personal marker,the face of someone who is actually asking when he asks the question — not performing curiosity,a very brief unguarded look when a player gives an answer he was not expecting,the sustained gravity of the period after World 412 when he is not speaking to anyone in particular,M_AfricanAmerican_02,50,55,40,medium_complexity,Full-body portrait of a mature Spanish man. Warm olive complexion. Short dark hair. Dark brown eyes. He wears formal Assembly grey with an amber thread at the lapel. A folded document in his breast pocket. His face in repose is grave — not severe. Photorealistic. Formal lighting. Background: Assembly chamber — empty.,Ultra-realistic portrait. A mature Spanish man. Warm olive complexion. Short dark hair. Dark brown eyes. Formal dark grey Assembly coat with a subtle amber caucus thread. He looks directly at the viewer. Formal dark grey assembly coat with a subtle am. Background: empty Assembly chamber.,,
6,Selamat Osei,,TIER_3,CONTINUATIONIST,unknown,female,Northern European — British-Irish synthesis,medium build — the kind of build that reads as unremarkable until you notice how precisely he occupies space,medium,light brown,very close-cropped — almost shaved,hazel,fair — light freckles across the nose,a quality of complete composure that political opponents find more unsettling than anger; the face of someone who always knows the count before the vote is called,Continuationist formal in deep teal — the most senior whip colouring — immaculately pressed; the clothes of the most effective politician in the Assembly and he knows how to use that,caucus sash in graduated teal worn across the right shoulder; everything fits perfectly and is clearly chosen with deliberate care,a single silver ring on the right hand; the clothes otherwise unadorned — effectiveness needs no decoration,the composed face of someone who knows the votes before the session opens,the micro-expression he makes when someone presents an argument he has already solved two moves prior,"the four-word expression: the moment after he filed ""Thank you. I understand."" — visible once",M_Asian_02,45,40,25,medium_complexity,"Full-body portrait of a mature British woman of English-Irish heritage. Fair complexion, light freckles. Light brown hair pulled back. Hazel eyes. in the Assembly and his bearing shows it — not arrogantly but with the precision of someone who always knows the count. He is looking at camera with complete composure. The teal caucus sash across his right shoulder. Photorealistic. Warm directional lighting. Background: Assembly voting chamber with results board half-visible.","Ultra-realistic portrait. A mature British woman of English-Irish heritage. Fair complexion, light freckles. Light brown hair pulled back. Hazel eyes. He received the Architect's classified modelling on the Adeyemi disclosure and filed four words in response. His expression gives nothing away. Formal assembly wear. Background: neutral background.",,
7,Adetokunbo Falaye,Prof.,TIER_3,ACADEMIC,unknown,male,South Asian — North Indian,slightly rounded — the build of someone who has been sitting and thinking for forty years,medium,dark short,medium length — naturally textured — worn with academic informality,deep brown,warm brown — North Indian,reading glasses worn on the face always even when not reading — a habit so ingrained it is invisible to him; expressive hands that gesture when he teaches; an expression in repose that looks like he is always in the middle of an argument with himself,teaching robes in warm rust-brown — worn soft and often — slightly less formal than his office requires; the robes of someone who has taught the same course for thirty years,the robes show wear at the elbows in a way that suggests authentic use; multiple pens in the upper pocket; a small pin of the Academic Concord not the Survey equivalent,reading glasses always; a worn leather satchel on the right shoulder,the face of someone in the middle of formulating the next sentence of a lecture,the expression he makes when a student raises the question he has been hoping someone would raise for twenty years,the expression from Year 67 — reconstructed — when he made the decision he now teaches against,M_AfricanAmerican_04,50,50,20,medium_complexity,Full-body portrait of a mature North Indian man. Warm brown complexion. Dark hair short. Deep brown eyes. Reading glasses always on. Expressive hands. The elbows of his robes show genuine wear. He teaches a course on following anomalous results. Photorealistic. Cinematic directional lighting. Background: lecture hall — chalkboard with student questions still written on it.,Ultra-realistic portrait. A mature North Indian man. Warm brown complexion. Dark hair short. Deep brown eyes. Reading glasses on at all times. He suppressed findings in Year 67 and now teaches a course on why you should never suppress findings. Warm rust teaching robes worn soft. Background: chalkboard.,,
8,Miriam Voss-Carvalho,,TIER_3,INDEPENDENT,unknown — survivor of World 412 aged 4,male,Southern European — Iberian,medium — the build of someone who has made a point of not being categorisable,medium,black,medium length — worn loose and somewhat unstructured,hazel-brown,warm olive — Mediterranean,she is the only Assembly member who has never sat in a faction seat — always in the independent gallery; carries a small battered notebook that she does not write in during sessions but is always present; looks younger than her age in an unsettling way — as if the World 412 experience reset something,independent Assembly wear — no caucus colour — charcoal grey with no affiliating thread; precisely this choice communicates volumes,clean and practical; everything she wears communicates independence through the absence of signal rather than its presence,the battered notebook; small plain earrings; nothing more,the expression of someone who is making their own assessment entirely independently of what you expect them to conclude,a flash of something much younger — the child she was on World 412 — visible in certain moments,the sustained quiet of someone who has been having the same monthly lunch with Nnamdi for forty years without realising what they've built,F_Caucasian_04,40,40,25,medium_complexity,"Full-body portrait of a mature Spanish man. Warm olive complexion. Close-cropped black hair. Hazel-brown eyes. wear with no caucus affiliation. Dark auburn hair going grey, worn loose. She survived World 412 aged four and has never joined a caucus. Photorealistic. Cinematic directional lighting. Background: the independent gallery of the Assembly — empty seats on both sides.",Ultra-realistic portrait. A mature Spanish man. Warm olive complexion. Close-cropped black hair. Hazel-brown eyes. Charcoal Assembly wear — no caucus thread. She survived World 412 at age four. Neutral lighting. Background: neutral background.,,
9,Yara Sundaram-Chen,Admiral,TIER_3,SURVEY_CORPS,unknown,male,Western European — French,lean and precise — the build of a deep-space officer who spent years on vessels where wasted movement costs fuel,tall,dark brown,regulation Survey Corps — pulled back severely — not a single strand loose,dark brown,light — warm undertone,the youngest Admiral insignia looks slightly wrong on someone this young — not because she doesn't wear it with authority but because authority at this age is itself unsettling; a precision to her movements that reads as controlled,Admiral's Survey Corps dress uniform — midnight blue with the full Admiral gold and silver insignia; worn with total correctness — this is someone who understands what the uniform means,every thread correct; nothing personalised; the uniform is the rank and the rank is the responsibility,Survey Corps Admiral insignia — full honours; a small navigation pin from her first independent command on the left breast,the professional face that Survey Corps trains — present, controlled, reading everything,a brief unguarded look when she processes what the outer-arc data actually means — the moment before she reconstructs the professional face,the expression from the Year 88 anomaly log — when she first saw the readings,F_Asian_01,32,30,Full-body portrait of a mature French man. Light complexion. Dark brown hair. Dark brown eyes. Photorealistic. Cinematic directional lighting. Background: neutral dramatic background.,Ultra-realistic portrait. A mature French man. Light complexion. Dark brown hair. Dark brown eyes. Cinematic lighting. Background: neutral background.,Photorealistic portrait. A young Tamil-Chinese woman in midnight blue Survey Corps Admiral dress uniform. Regulation-strict black hair. Very dark controlled eyes. Youngest Admiral in corps history. The outer-arc anomaly she logged in Year 88 was classified as instrument variance. She has continued anyway. Cold directional lighting. Background: outer arc star chart.,Photorealistic portrait. A young Tamil-Chinese woman in midnight blue Survey Corps Admiral dress uniform. Regulation-strict black hair. Very dark controlled eyes. Youngest Admiral in corps history. The outer-arc anomaly she logged in Year 88 was classified as instrument variance. She has continued anyway. Cold directional lighting. Background: outer arc star chart.
10,Ekundayo Manu,Brother,TIER_3,LATTICE_COVENANT,unknown,female,South Asian — North Indian,medium — the build of someone who was once a physicist and is now a monk; the two histories visible in how he holds himself,medium,black neat,slightly longer than the monastery convention — a small rebellion,warm hazel,warm golden-brown — North Indian,the hands of a physicist — not a monk; the particular way he tilts his head when listening that dates from his academic years not his spiritual ones; the expression of someone who lives in a permanent gap between two irreconcilable systems,Lattice Covenant Third Elder robes — deep violet with the Covenant lattice symbol; worn with genuine conviction not performance; the robes fit him as if he was born into them which is the truth of forty-six years,the philosopher-physicist's hands visible below the wide sleeves; everything else formally correct,a single smooth stone held in the right hand — an old academic habit repurposed as a meditative one,the composed presence of someone who has made peace with the irreconcilable — or has decided to stop fighting it,the moment when physics wins — a flash of the scientist in the monk's face when someone describes a Lattice anomaly,the sustained grief of someone who knew Kwame's mathematics was correct and said nothing,M_AfricanAmerican_03,55,45,25,medium_complexity,"Full-body portrait of a mature North Indian woman. Warm golden-brown complexion. Black hair neatly arranged. Warm hazel eyes. in deep violet Lattice Covenant Elder robes. Black hair slightly greying, worn a little longer than convention. He was a physicist before he became a monk. Photorealistic. Monastery lighting. Background: Lattice node chamber — the mathematics visible in the node's glow.",Ultra-realistic portrait. A mature North Indian woman. Warm golden-brown complexion. Black hair neatly arranged. Warm hazel eyes. Slightly greying black hair. He is the only Covenant leader who understood the Lattice degradation mathematics. Warm composed eyes. Background: lattice node.,,
